article	token	coef.
67068	physique	0.019230769230769232
67068	mathia	0.019230769230769232
67068	fink	0.019230769230769232
67068	bel	0.0057692307692307696
67068	chercheur	0.013461538461538462
67068	innover	0.007692307692307693
67068	27	0.0019230769230769232
67068	avril	0.0019230769230769232
67068	cnr	0.0057692307692307696
67068	décerner	0.0019230769230769232
67068	premier	0.0038461538461538464
67068	fois	0.0019230769230769232
67068	médaill	0.0019230769230769232
67068	innovation	0.0057692307692307696
67068	valérie	0.0019230769230769232
67068	pécresse	0.0019230769230769232
67068	ministre	0.0019230769230769232
67068	enseignement	0.0019230769230769232
67068	supérieur	0.0019230769230769232
67068	recherche	0.009615384615384616
67068	origine	0.0019230769230769232
67068	création	0.007692307692307693
67068	souhaiter	0.0038461538461538464
67068	honorer	0.0019230769230769232
67068	ingénieur	0.0019230769230769232
67068	travailler	0.0057692307692307696
67068	établissement	0.0019230769230769232
67068	public	0.0019230769230769232
67068	université	0.0038461538461538464
67068	grand	0.007692307692307693
67068	école	0.0057692307692307696
67068	industriel	0.007692307692307693
67068	développer	0.0019230769230769232
67068	marquante	0.0019230769230769232
67068	édition	0.0019230769230769232
67068	nouveau	0.0038461538461538464
67068	distinction	0.0019230769230769232
67068	attribuer	0.0019230769230769232
67068	trois	0.0019230769230769232
67068	réputé	0.0019230769230769232
67068	économiste	0.0019230769230769232
67068	esther	0.0019230769230769232
67068	duflo	0.0019230769230769232
67068	roboticien	0.0019230769230769232
67068	françois	0.0019230769230769232
67068	pierrot	0.0019230769230769232
67068	physicien	0.0057692307692307696
67068	directeur	0.009615384615384616
67068	institut	0.0057692307692307696
67068	langevin	0.0057692307692307696
67068	onde	0.023076923076923078
67068	image	0.009615384615384616
67068	créer	0.0057692307692307696
67068	janvier	0.0019230769230769232
67068	2009	0.0038461538461538464
67068	ecole	0.0038461538461538464
67068	chimie	0.0038461538461538464
67068	ville	0.0019230769230769232
67068	pari	0.0057692307692307696
67068	espci	0.009615384615384616
67068	remarquable	0.0019230769230769232
67068	traval	0.0038461538461538464
67068	équipe	0.007692307692307693
67068	aboutir	0.0019230769230769232
67068	quatre	0.0038461538461538464
67068	start	0.0038461538461538464
67068	up	0.0038461538461538464
67068	totaliser	0.0019230769230769232
67068	230	0.0019230769230769232
67068	personne	0.0038461538461538464
67068	domaine	0.0038461538461538464
67068	varier	0.0019230769230769232
67068	médecine	0.0019230769230769232
67068	télécommunications	0.0038461538461538464
67068	multimédia	0.0019230769230769232
67068	objet	0.0019230769230769232
67068	tactile	0.0019230769230769232
67068	j	0.0019230769230769232
67068	aime	0.0019230769230769232
67068	transformer	0.0019230769230769232
67068	idée	0.0038461538461538464
67068	fondamental	0.0038461538461538464
67068	produit	0.0019230769230769232
67068	innovant	0.0019230769230769232
67068	emblé	0.0019230769230769232
67068	parvenir	0.0038461538461538464
67068	falloir	0.0038461538461538464
67068	trouver	0.0038461538461538464
67068	terrain	0.0019230769230769232
67068	propice	0.0019230769230769232
67068	fin	0.0019230769230769232
67068	1980	0.0019230769230769232
67068	occasion	0.0019230769230769232
67068	rencontre	0.0019230769230769232
67068	georges	0.0057692307692307696
67068	charpak	0.0057692307692307696
67068	prix	0.0019230769230769232
67068	nobel	0.0019230769230769232
67068	1992	0.0019230769230769232
67068	aller	0.0019230769230769232
67068	découvrir	0.0057692307692307696
67068	coeur	0.0038461538461538464
67068	montagn	0.0019230769230769232
67068	saint	0.0019230769230769232
67068	genevièv	0.0019230769230769232
67068	plein	0.0019230769230769232
67068	laboratoire	0.0019230769230769232
67068	français	0.0019230769230769232
67068	solide	0.0019230769230769232
67068	faire	0.0038461538461538464
67068	autour	0.0019230769230769232
67068	concept	0.0057692307692307696
67068	renversement	0.007692307692307693
67068	temps	0.007692307692307693
67068	qualifient	0.0019230769230769232
67068	connaisseur	0.0019230769230769232
67068	intéresser	0.0019230769230769232
67068	secteur	0.0019230769230769232
67068	aéronautique	0.0019230769230769232
67068	dassault	0.0019230769230769232
67068	aerospatial	0.0019230769230769232
67068	snecmer	0.0019230769230769232
67068	turboméca	0.0019230769230769232
67068	prêt	0.0019230769230769232
67068	financer	0.0019230769230769232
67068	époque	0.0019230769230769232
67068	milieu	0.0019230769230769232
67068	peu	0.0019230769230769232
67068	enclin	0.0019230769230769232
67068	industrie	0.0019230769230769232
67068	militaro	0.0019230769230769232
67068	retrouver	0.0019230769230769232
67068	isolé	0.0019230769230769232
67068	luire	0.0057692307692307696
67068	proposer	0.0038461538461538464
67068	rencontrer	0.0038461538461538464
67068	pierre	0.0019230769230769232
67068	gille	0.0019230769230769232
67068	genne	0.0019230769230769232
67068	jacques	0.0019230769230769232
67068	lewiner	0.0019230769230769232
67068	scientifique	0.0019230769230769232
67068	endroit	0.0057692307692307696
67068	sympathique	0.0038461538461538464
67068	je	0.0019230769230769232
67068	avoir	0.013461538461538462
67068	être	0.009615384615384616
67068	il	0.0057692307692307696
67068	m	0.0019230769230769232
67068	dire	0.0038461538461538464
67068	vous	0.013461538461538462
67068	vouloir	0.0019230769230769232
67068	venez	0.0019230769230769232
67068	ajout	0.0019230769230769232
67068	chance	0.0019230769230769232
67068	mon	0.0019230769230769232
67068	carrière	0.0019230769230769232
67068	amuser	0.0038461538461538464
67068	vousc	0.0019230769230769232
67068	dès	0.0038461538461538464
67068	1990	0.0019230769230769232
67068	crée	0.0019230769230769232
67068	laboratoir	0.0057692307692307696
67068	acoustique	0.0057692307692307696
67068	qualifier	0.0019230769230769232
67068	unique	0.0019230769230769232
67068	particulièrement	0.0019230769230769232
67068	bien	0.0019230769230769232
67068	voir	0.0038461538461538464
67068	donne	0.0019230769230769232
67068	feu	0.0019230769230769232
67068	vert	0.0019230769230769232
67068	moment	0.0019230769230769232
67068	original	0.0057692307692307696
67068	t	0.009615384615384616
67068	particularité	0.0019230769230769232
67068	vraiment	0.0019230769230769232
67068	pluridisciplinarité	0.0057692307692307696
67068	régner	0.0019230769230769232
67068	chercher	0.0019230769230769232
